page_number,bucket,confidence,explanation,text
1,redline,1.0,"Page contains 'redline' text, indicating document revisions.","Table of Contents 
User Usage Agreement
Attachments
Usage Agreement Usage Agreement.pdf
Rate-Rule Attachments (ex. Document Name      Attachment Name)
TX 0525 Rates TX 0525 Rates.pdf
TX 0525 Rate Order of Calculations TX 0525 ROCS.pdf
TX 0525 Rule Changes Only TX 0525 Rules Changes Only.pdf
Supporting Document
Attachments
(ex. Supporting Document Name      Attachment Name)
Actuarial Support TX 0525 Actuarial Exhibits.pdf
Actuarial Support TX 0525 Actuarial Memorandum.pdf
Actuarial Support TX 0525 Factor Support_Part1.pdf
Actuarial Support TX 0525 Factor Support_Part2.pdf
Actuarial Support TX 0525 Factor Support_Part3.pdf
Actuarial Support TX 0525 Factor Support_Part4.pdf
Exhibit A TX 0525 Exhibit A.pdf
Filing Memorandum (Rates/Rules) TX 0525 Cover Letter.pdf
TX 0525 Side by Sides TX 0525 Rates Redline_Part1.pdf
TX 0525 Side by Sides TX 0525 Rates Redline_Part2.pdf
TX 0525 Side by Sides TX 0525 Rules Redline Changes Only.pdf
SERFF Tracking #: PRGS-134279210 State Tracking #:S730179 Company Tracking #: TX 0525 RR-COM
State: Texas Filing Company: Progressive County Mutual Insurance Company
TOI/Sub-TOI: 20.0 Commercial Auto/20.0001 Business Auto
Product Name: Commercial Auto Program
Project Name/Number: TX 0525 RR-COM/TX 0525 RR-COM
PDF Pipeline for SERFF Tracking Number PRGS-134279210 Generated 06/04/2025 10:48 PM"
2,intro information,0.95,"Summary of filing details, company, product, and submission information.","Filing at a Glance 
Company: Progressive County Mutual Insurance Company
Product Name: Commercial Auto Program
State: Texas
TOI: 20.0 Commercial Auto
Sub-TOI: 20.0001 Business Auto
Filing Type: Rate/Rule
Date Submitted: 05/20/2025
SERFF Tr Num: PRGS-134279210
SERFF Status: Pending Industry Response
State Tr Num: S730179
State Status: AS-Assigned To Technician
Co Tr Num: TX 0525 RR-COM
Effective Date
Requested (New):
05/21/2025
Effective Date
Requested (Renewal):
06/18/2025
Author(s): Dana Williams
Reviewer(s): Zach Fields (primary), Timothy Wendland
Disposition Date:
Disposition Status:
Effective Date (New):
Effective Date (Renewal):
SERFF Tracking #: PRGS-134279210 State Tracking #:S730179 Company Tracking #: TX 0525 RR-COM
State: Texas Filing Company: Progressive County Mutual Insurance Company
TOI/Sub-TOI: 20.0 Commercial Auto/20.0001 Business Auto
Product Name: Commercial Auto Program
Project Name/Number: TX 0525 RR-COM/TX 0525 RR-COM
PDF Pipeline for SERFF Tracking Number PRGS-134279210 Generated 06/04/2025 10:48 PM"
3,intro information,0.95,"Contains company, contact, and project information for filing overview.","General Information 
 
Company and Contact 
Project Name: TX 0525 RR-COM Status of Filing in Domicile: Not Filed
Project Number: TX 0525 RR-COM Domicile Status Comments: Texas
Reference Organization: Reference Number:
Reference Title: Advisory Org. Circular:
Filing Status Changed: 06/04/2025 
State Status Changed: 05/22/2025 Deemer Date:
Created By: Dana Williams Submitted By: Dana Williams
Corresponding Filing Tracking Number: 
State TOI: Commercial Automobile State Sub-TOI: Business Auto
Filing Description:
Rate/Rule Filing
Filing Contact Information
Scott Phillips, Product Manager scott_phillips@progressive.com
300 N. Commons Blvd
Mayfield Village, OH 44143
440-603-6250 [Phone]
Filing Company Information
Progressive County Mutual
Insurance Company
5707 Southwest Parkway
Bldg. 2 - Suite #200
Austin, TX  78735
(440) 461-5000 ext. [Phone]
CoCode: 29203
Group Code: 155
Group Name: The Progressive
Group
FEIN Number: 74-1082840
State of Domicile: Texas
Company Type: Property and
Casualty Insurance
State ID Number:
SERFF Tracking #: PRGS-134279210 State Tracking #:S730179 Company Tracking #: TX 0525 RR-COM
State: Texas Filing Company: Progressive County Mutual Insurance Company
TOI/Sub-TOI: 20.0 Commercial Auto/20.0001 Business Auto
Product Name: Commercial Auto Program
Project Name/Number: TX 0525 RR-COM/TX 0525 RR-COM
PDF Pipeline for SERFF Tracking Number PRGS-134279210 Generated 06/04/2025 10:48 PM"
4,intro information,0.95,Contains administrative details and filing information for Texas state.,"Filing Fees 
State Specific 
State Fees
Fee Required? No
Retaliatory? No
Fee Explanation:
1. [PII] Does this filing contain any personally identifiable information (PII)? (See SERFF General Instructions for the definition
and examples of PII.) Answer either YES or NO:: No
2. [Associated filing] Provide the TDI file number or SERFF tracking number for all associated filings:: N/A
3. [Deemer date] Do you waive the deemer for form, endorsement, and certificate of insurance filings under 28 TAC 5.9325?
Answer either YES or NO:: No
4. Do you waive the limits on requests for information for rate/rule filings under 28 TAC 5.9336? Answer either YES or NO:: No
5. [Replacement number] Provide the TDI file number or SERFF tracking number of the previously approved forms and
endorsements or accepted rates, rules, or rate/rules that you are replacing:: S726362, S716688, S723654, S711188,
S717203, S707622, S699454, S695813
6. [Reference/adopt] Provide the TDI file number or SERFF tracking number that contains approved forms and endorsements
or accepted rates, rules, or rate/rules that you are referencing/adopting.: N/A
7. [Interline] State if this is an interline filing and list all lines of insurance the endorsement or rate/rules applies to.: N/A
8. [Policy form] What policy form do these endorsements and forms go with? List the TDI file number or SERFF tracking
number where the policy form was approved or referenced:: N/A
9. [RPG] Will this filing be used for a Risk Purchasing Group? Answer either YES or NO. If yes, provide the name:: No
SERFF Tracking #: PRGS-134279210 State Tracking #:S730179 Company Tracking #: TX 0525 RR-COM
State: Texas Filing Company: Progressive County Mutual Insurance Company
TOI/Sub-TOI: 20.0 Commercial Auto/20.0001 Business Auto
Product Name: Commercial Auto Program
Project Name/Number: TX 0525 RR-COM/TX 0525 RR-COM
PDF Pipeline for SERFF Tracking Number PRGS-134279210 Generated 06/04/2025 10:48 PM"
5,correspondence,0.95,Lists objection and response letters with dates and details.,"Correspondence Summary 
Objection Letters and Response Letters
Objection Letters Response Letters
Status Created By Created On Date Submitted Responded By Created On Date Submitted
Information
Requested
Zach Fields 06/03/2025 06/04/2025 
Information
Requested
Timothy Wendland 05/21/2025 05/21/2025 Dana Williams 05/21/2025 05/21/2025
SERFF Tracking #: PRGS-134279210 State Tracking #: S730179 Company Tracking #: TX 0525 RR-COM
State: Texas Filing Company: Progressive County Mutual Insurance Company
TOI/Sub-TOI: 20.0 Commercial Auto/20.0001 Business Auto
Product Name: Commercial Auto Program
Project Name/Number: TX 0525 RR-COM/TX 0525 RR-COM
PDF Pipeline for SERFF Tracking Number PRGS-134279210 Generated 06/04/2025 10:48 PM"
6,correspondence,0.95,Formal communication addressing objections and requesting additional actuarial information.,"Objection Letter 
Objection Letter Status Information Requested
Objection Letter Date 06/04/2025
Submitted Date 06/04/2025
Respond By Date 06/18/2025
     Dear Scott Phillips,
     Introduction:
     Objection 1
          - Actuarial Support (Supporting Document)
          Comments: Some of the coverages included in the indication show significant credibility-weighted indicated rate decreases with
no change selected.  Please explain the rationale for maintaining the current rate level for these coverages when prior experience
appears to indicate that rates should be reduced for these coverages.
In crafting a response, please keep in mind that we do not typically permit base rates cross-subsidizing between coverages. It is
generally not appropriate to select significant increases for positive indications while taking minimal or no decreases for negative
indications. Among BIPD, COLL, COMP, and UM/UIM, the companys largest coverages in written premium, this cross-subsidizing
appears in the selections.
     Objection 2
          - Actuarial Support (Supporting Document)
          Comments: The methodology used in the companys trend selections is unclear. Please clarify the process through which the
company selected their loss and premium trends, both historic and future.
     Objection 3
          - Actuarial Support (Supporting Document)
          Comments: Please provide a data dictionary that lists each variable, defines it, states role (dependent, independent, control).
Please also include a definition for each level of the variables.
     Objection 4
          - Actuarial Support (Supporting Document)
          Comments: Please describe any offsets or other adjustments to variables used in the model.
     Objection 5
          - Actuarial Support (Supporting Document)
          Comments: Some of the exhibits include confidence intervals, but some do not. Further, most documents do not include the
current factors. Please amend the exhibits to include, current, indicated, proposed, and confidence intervals on each table.
     Objection 6
          - Actuarial Support (Supporting Document)
          Comments: Please clarify how confidence intervals were determined and what statistic was used. For those variables for which
confidence intervals are not available, please clarify why.
     Objection 7
          - Actuarial Support (Supporting Document)
          Comments: Regarding the Annual Mileage tables, please respond to the following:
* Many levels in this table have an indicated relativity of NA. Please clarify why these are marked as NA.
* Most of the Unverified levels have 0% credibility and an indicated factor of 0. Please clarify why this is the case.
SERFF Tracking #: PRGS-134279210 State Tracking #:S730179 Company Tracking #: TX 0525 RR-COM
State: Texas Filing Company: Progressive County Mutual Insurance Company
TOI/Sub-TOI: 20.0 Commercial Auto/20.0001 Business Auto
Product Name: Commercial Auto Program
Project Name/Number: TX 0525 RR-COM/TX 0525 RR-COM
PDF Pipeline for SERFF Tracking Number PRGS-134279210 Generated 06/04/2025 10:48 PM"
7,correspondence,0.95,Contains objections and requests for clarification from a regulator.,"* Please clarify if the company has binned any levels together when running the model.
* For those levels in which the company has no indicated factor, please clarify how the company selected a factor.
     Objection 8
          - Actuarial Support (Supporting Document)
          Comments: Regarding the Business Class Body Type Use Class tables, please respond to the following:
* Please clarify how the Business Class Body Type Use code can be interpreted. For example, what does 078034N denote? If the
company has previously filed these rules, please state where it has been filed.
* The company only provided an indicated and selected relativity. Please amend the table in accordance with Objection 5 or clarify
why only the indicated and selected relativities are available.
* Several variables have the same indicated factor but different selected factors. Please explain how the final factors were selected.
     Objection 9
          - Actuarial Support (Supporting Document)
          Comments: Regarding the DOT interaction tables, please respond to the following:
* Please explain if the company has binned any variables prior to running the model.
* Many levels in this table have an indicated relativity of NA. Please clarify why these are marked as NA.
     Objection 10
          - Actuarial Support (Supporting Document)
          Comments: Regarding the Length of Prior/Carrier Continuous tables, please respond to the following:
* Please explain if the company has binned any variables prior to running the model.
* Many levels in this table are blank. Please clarify why these are blank.
     Objection 11
          - Actuarial Support (Supporting Document)
          Comments: Regarding the Model Year tables, please respond to the following:
* Please explain if the company has binned any variables prior to running the model.
* Some of the selected variables are outside the confidence intervals. Please clarify why the companys selection process would result
in these selections.
     Objection 12
          - Actuarial Support (Supporting Document)
          Comments: Regarding the Out of State Driver tables, please respond to the following:
* Please clarify if the company has binned any levels together when running the model.
* Some of the selected factors are outside the confidence intervals. For example, for BCG A, the company appears to have assigned
a factor of 1.34 to policies with more than half of drivers out of state. However, the highest point on the confidence interval is 1.31.
This can be seen at other points in the table. Please explain how the company selected the factors.
     Conclusion:
     Sincerely,
     Zach Fields
SERFF Tracking #: PRGS-134279210 State Tracking #:S730179 Company Tracking #: TX 0525 RR-COM
State: Texas Filing Company: Progressive County Mutual Insurance Company
TOI/Sub-TOI: 20.0 Commercial Auto/20.0001 Business Auto
Product Name: Commercial Auto Program
Project Name/Number: TX 0525 RR-COM/TX 0525 RR-COM
PDF Pipeline for SERFF Tracking Number PRGS-134279210 Generated 06/04/2025 10:48 PM"
8,correspondence,0.95,Formal communication regarding objections and requests for additional information.,"Objection Letter 
Objection Letter Status Information Requested
Objection Letter Date 05/21/2025
Submitted Date 05/21/2025
Respond By Date 05/22/2025
     Dear Scott Phillips,
     Introduction:
          Please respond by the next business day.
     Objection 1
          - Does this filing contain confidential information? (Supporting Document)
          Comments: You answered yes to the above question in the Supporting Documentation tab.
This means filing contains confidential information; however, no documents or pages have been marked confidential.
Please respond with the correct information.
Also, please note TDI will not perform this function (setting attachments as confidential for insurance companies or other filers).
Refer to page 5 in the Filings Made Easy on our website at https://www.tdi.texas.gov/pubs/pc/fmeguide.pdf.
     Conclusion:
     Sincerely,
     Timothy Wendland
SERFF Tracking #: PRGS-134279210 State Tracking #:S730179 Company Tracking #: TX 0525 RR-COM
State: Texas Filing Company: Progressive County Mutual Insurance Company
TOI/Sub-TOI: 20.0 Commercial Auto/20.0001 Business Auto
Product Name: Commercial Auto Program
Project Name/Number: TX 0525 RR-COM/TX 0525 RR-COM
PDF Pipeline for SERFF Tracking Number PRGS-134279210 Generated 06/04/2025 10:48 PM"
9,correspondence,0.95,Formal communication responding to regulatory review of insurance filing.,"Response Letter 
Response Letter Status Submitted to State
Response Letter Date 05/21/2025
Submitted Date 05/21/2025
     Dear Zach Fields,
     Introduction:
          Thank you for your review of our filing.
     Response 1
          Comments:
               We have adjusted our answer to reflect No regarding confidential documents.
     Related Objection 1
          Applies To:
          -  Does this filing contain confidential information? (Supporting Document)
          Comments:  You answered yes to the above question in the Supporting Documentation tab.
This means filing contains confidential information; however, no documents or pages have been marked confidential.
Please respond with the correct information.
Also, please note TDI will not perform this function (setting attachments as confidential for insurance companies or other filers).  Refer to page 5 in the Filings Made Easy on our
website at https://www.tdi.texas.gov/pubs/pc/fmeguide.pdf.
     Changed Items:
          No Form Schedule items changed.
          No Rate/Rule Schedule items changed.
SERFF Tracking #: PRGS-134279210 State Tracking #: S730179 Company Tracking #: TX 0525 RR-COM
State: Texas Filing Company: Progressive County Mutual Insurance Company
TOI/Sub-TOI: 20.0 Commercial Auto/20.0001 Business Auto
Product Name: Commercial Auto Program
Project Name/Number: TX 0525 RR-COM/TX 0525 RR-COM
PDF Pipeline for SERFF Tracking Number PRGS-134279210 Generated 06/04/2025 10:48 PM"
10,correspondence,0.95,Communication regarding confidential information status and contact details provided.,"Supporting Document Schedule Item Changes
Satisfied - Item: Does this filing contain confidential information?
Comments: No
Attachment(s):
Previous Version
Satisfied - Item: Does this filing contain confidential information?
Comments: yes
Attachment(s):
     Conclusion:
          Please let us know if you have any questions.
     Sincerely,
     Dana Williams
SERFF Tracking #: PRGS-134279210 State Tracking #: S730179 Company Tracking #: TX 0525 RR-COM
State: Texas Filing Company: Progressive County Mutual Insurance Company
TOI/Sub-TOI: 20.0 Commercial Auto/20.0001 Business Auto
Product Name: Commercial Auto Program
Project Name/Number: TX 0525 RR-COM/TX 0525 RR-COM
PDF Pipeline for SERFF Tracking Number PRGS-134279210 Generated 06/04/2025 10:48 PM"
